"GID","Yield"
"Oat135",6443.488987
"Oat136",6495.456986
"Oat137",6601.627058
"Oat138",6402.328309
"Oat139",4786.720052
"Oat140",6678.028494
"Oat141",7027.219593
"Oat142",6007.497185
"Oat143",6094.043408
"Oat144",6328.850687
"Oat145",7208.98164
"Oat146",6486.779106
"Oat147",6018.99093
"Oat148",5990.645557
"Oat149",6229.256657
"Oat150",5858.019502
"Oat151",8024.11783
"Oat152",6085.20517
"Oat153",5238.210997
"Oat154",5691.234464
"Oat155",5668.589547
"Oat156",6436.205678
"Oat157",6038.908934
"Oat158",7062.214652
"Oat159",6156.103343
"Oat160",6537.941629
"Oat161",6168.012406
"Oat162",7995.612052
"Oat163",5488.739286
"Oat164",6257.810228
"Oat165",6269.939652
"Oat166",6372.25918
"Oat167",5405.433312
"Oat168",6360.830519
"Oat169",5943.413459
"Oat170",6188.780856
"Oat171",7083.016622
"Oat172",7291.783134
"Oat173",6992.111598
"Oat174",5968.85464
"Oat175",6227.506045
"Oat176",5402.249848
"Oat177",6273.590187
"Oat178",6304.821863
"Oat179",6317.605759
"Oat180",5536.832232
"Oat181",6572.855032
"Oat182",6037.656992
"Oat183",7002.113702
"Oat184",7221.025402
"Oat185",6386.890633
"Oat186",6937.679644
"Oat187",6393.488251
"Oat188",6064.032985
"Oat189",7506.835019
"Oat190",5838.911111
"Oat191",6644.893868
"Oat192",6586.517711
"Oat193",6330.265039
"Oat194",6276.853627
"Oat195",6913.651254
"Oat196",7191.518035
"Oat197",6833.801633
"Oat198",6849.218508
"Oat199",6427.382619
"Oat200",7071.735329
"Oat201",7179.474655
"Oat202",6845.943248
"Oat203",6221.47251
"Oat204",6701.859599
"Oat205",6002.337641
"Oat206",6650.576776
"Oat207",6109.07056
"Oat208",6940.393671
"Oat209",6478.008925
"Oat210",6807.738881
"Oat211",5221.279128
"Oat212",7720.248238
"Oat213",5903.435944
"Oat214",6526.426042
"Oat215",6470.337818
"Oat216",6112.871934
"Oat217",7285.95282
"Oat218",5976.918759
"Oat219",5858.129452
"Oat220",6257.695004
"Oat221",6979.331607
"Oat222",5498.567685
"Oat223",7323.635747
"Oat224",5961.264931
"Oat225",7328.036638
"Oat226",5921.407239
"Oat227",5885.809417
"Oat228",6630.810998
"Oat229",6554.136917
"Oat230",6200.191263
"Oat231",5892.609067
"Oat232",6282.355246
"Oat233",5750.000652
"Oat234",7949.933675
"Oat235",5872.704187
"Oat236",6466.698938
"Oat237",7233.484847
"Oat238",6144.069434
"Oat239",6617.184823
"Oat240",5738.171967
"Oat241",6401.118683
"Oat242",6366.939124
"Oat243",7187.195388
"Oat244",5585.46887
"Oat245",6262.104441
"Oat246",6015.104906
"Oat247",4987.870295
"Oat248",5465.553389
"Oat249",6408.076251
"Oat250",6841.571999
"Oat251",6948.063648
"Oat252",6956.238
"Oat253",6085.704418
"Oat254",6132.620355
"Oat255",5217.209002
"Oat256",6635.459468
"Oat257",6886.34754
"Oat258",6695.931022
"Oat259",5679.712755
"Oat260",5791.220882
"Oat261",6789.734359
"Oat262",7576.880402
"Oat263",7286.132506
"Oat264",5882.707041
"Oat265",6485.636805
"Oat266",7264.145857
"Oat267",6387.956903
"Oat268",7048.948127
"Oat269",6499.84627
"Oat270",6916.124441
"Oat271",6149.384602
"Oat272",7359.749292
"Oat273",6076.685826
"Oat274",7183.904437
"Oat275",6639.473364
"Oat276",5370.15989
"Oat277",7741.216489
"Oat278",6847.706988
"Oat279",6678.985729
"Oat280",6573.367924
"Oat281",5408.392324
"Oat282",6948.053337
"Oat283",6479.485537
"Oat284",6484.103637
"Oat285",7026.461609
"Oat286",6948.545017
"Oat287",7186.6532
"Oat288",5960.651621
"Oat289",5948.225848
"Oat290",7143.515736
"Oat291",6688.963043
"Oat292",6666.971962
"Oat293",6565.021911
"Oat294",5977.641652
"Oat295",6438.275825
"Oat296",6686.599542
"Oat297",7195.648473
"Oat298",5735.047824
"Oat299",6740.301186
"Oat300",5992.028864
"Oat301",6562.954291
"Oat302",6221.460472
"Oat303",7259.273795
"Oat304",6774.163607
"Oat305",5920.848482
"Oat306",6499.748086
"Oat307",5764.360293
"Oat308",6796.343293
"Oat309",7107.87222
"Oat310",7065.81288
"Oat311",7234.520649
"Oat312",6065.490498
"Oat313",5783.099684
"Oat314",5545.071508
"Oat315",6309.790653
"Oat316",7589.910655
"Oat317",5909.379374
"Oat318",6869.699081
"Oat319",5770.749878
"Oat320",6542.392878
"Oat321",5465.225797
"Oat322",6617.604955
"Oat323",6880.561211
"Oat324",6571.462784
"Oat325",5385.775384
"Oat326",5927.76098
"Oat327",7536.448147
"Oat328",5996.819622
"Oat329",5938.936001
